BeerID,Style,OG,ABV,IBU,Color,BoilTime,BoilGravity,Efficiency,BrewMethod
6,American Pale Ale,1.055,5.58,40.12,8.0,70,1.047,79.0,All Grain
11,American IPA,1.064,6.63,64.26,7.78,90,1.055,74.0,All Grain
14,American IPA,1.0659999999999998,6.51,60.96,10.54,60,1.11,30.0,extract
15,American IPA,1.064,6.2,64.67,3.91,60,1.071,70.0,All Grain
18,American IPA,1.073,7.14,61.83,8.1,60,1.061,75.0,All Grain
20,American IPA,1.062,6.5,53.3,5.2,60,1.048,70.0,All Grain
25,American IPA,1.062,6.29,53.57,5.21,70,1.052,73.0,BIAB
27,American IPA,1.058,5.34,57.84,3.98,60,1.05,83.0,BIAB
29,American IPA,1.052,5.31,60.58,5.82,60,1.043,70.0,All Grain
33,American IPA,1.071,6.93,68.91,6.82,60,1.05,72.0,All Grain
34,American IPA,1.065,6.26,89.61,6.93,60,1.045,70.0,All Grain
52,American IPA,1.058,6.1,37.06,11.45,60,1.0390000000000001,55.0,All Grain
55,American IPA,1.064,6.47,56.62,8.23,60,1.043,70.0,All Grain
57,American IPA,1.067,6.81,69.73,5.59,70,1.053,73.0,BIAB
61,American IPA,1.0659999999999998,6.31,92.1,4.82,60,1.054,75.0,All Grain
62,American IPA,1.062,6.13,66.0,6.97,60,1.052,51.0,Partial Mash
66,American IPA,1.078,7.05,60.66,7.06,60,1.061,70.0,BIAB
72,American IPA,1.062,6.51,121.43,4.26,60,1.053,70.0,All Grain
74,American IPA,1.068,7.2,105.67,7.77,60,1.055,68.0,All Grain
81,American IPA,1.072,7.52,87.48,7.3,90,1.061,65.0,All Grain
92,American Pale Ale,1.054,5.61,40.55,5.66,60,1.038,72.0,All Grain
97,American IPA,1.058,5.73,42.52,5.6,60,1.05,65.0,All Grain
102,American IPA,1.0590000000000002,6.45,32.49,6.76,60,1.047,70.0,All Grain
110,American IPA,1.058,6.42,39.52,3.69,60,1.048,78.0,All Grain
111,American IPA,1.0659999999999998,6.24,68.07,11.58,60,1.052,77.0,All Grain
116,American IPA,1.065,6.88,65.04,6.75,60,1.052,70.0,All Grain
118,American IPA,1.064,6.03,70.74,9.01,60,1.1,70.0,Partial Mash
126,American IPA,1.0659999999999998,6.7,76.06,7.32,60,1.0490000000000002,72.0,All Grain
127,American Pale Ale,1.052,5.55,45.2,8.14,60,1.046,67.0,All Grain
130,American IPA,1.0590000000000002,5.82,73.67,7.22,60,1.093,70.0,Partial Mash
134,American Pale Ale,1.054,5.32,51.73,4.65,60,1.04,70.0,All Grain
138,American IPA,1.061,6.58,37.83,9.38,60,1.045,75.0,All Grain
141,American IPA,1.067,7.0,50.85,5.6,60,1.0490000000000002,75.0,All Grain
142,American Pale Ale,1.0490000000000002,5.06,33.49,8.76,60,1.044,85.0,All Grain
152,American IPA,1.069,7.11,30.11,5.04,45,1.043,72.0,All Grain
158,American Pale Ale,1.042,4.24,47.19,9.46,60,1.045,81.0,BIAB
163,American Pale Ale,1.053,5.59,38.44,5.57,60,1.044,72.0,All Grain
